user_id,date,mean_hold,std_flight,min_dd,max_dd,mean_speed,max_speed,speed_std,idle_time,click_rate,path_length,duration,total_screen_time,num_sessions,num_breaks,num_night_sessions,avg_session_duration,night_ratio,emotion,voice_score
U001,2025-07-12,0.292,0.086,0.059,0.249,617.3,495.7,295.1,4.23,0.72,711.5,112.3,292.3,18,14,3,13.9,0.17,DIS,5.85
U001,2025-07-13,0.258,0.024,0.053,0.174,131.9,2194.7,179.3,12.28,1.83,826.2,58.7,142.3,5,5,2,20.3,0.4,ANG,1.99
U001,2025-07-14,0.103,0.044,0.093,0.274,858.8,2088.8,501.0,14.45,0.85,498.7,98.3,282.0,15,5,2,16.6,0.13,HAP,3.52
U001,2025-07-15,0.095,0.012,0.017,0.117,630.0,373.5,584.1,14.45,0.31,620.7,112.0,486.5,3,3,3,81.1,1.0,DIS,5.62
U001,2025-07-16,0.096,0.076,0.035,0.153,236.8,500.4,287.8,16.3,1.28,2273.6,117.2,540.4,8,2,2,54.0,0.25,FEA,4.47
U001,2025-07-17,0.126,0.052,0.041,0.275,335.7,408.1,454.6,17.07,0.42,1740.2,108.8,439.4,7,0,4,39.9,0.57,SAD,6.17
U001,2025-07-18,0.181,0.094,0.08,0.274,170.9,1036.4,568.2,1.55,1.63,3591.5,44.9,92.4,18,2,1,4.9,0.06,DIS,5.97
U001,2025-07-19,0.158,0.052,0.099,0.221,731.7,1420.4,366.0,6.87,1.36,4377.2,115.9,422.0,10,2,4,30.1,0.4,SAD,6.4
U001,2025-07-21,0.123,0.052,0.032,0.265,784.2,1471.2,690.5,13.74,1.77,3966.9,99.4,190.1,10,8,4,13.6,0.4,ANG,2.9
U001,2025-07-22,0.203,0.114,0.089,0.072,656.3,888.9,628.7,9.97,1.61,2747.1,102.1,230.2,19,13,3,10.5,0.16,HAP,4.0
U001,2025-07-23,0.085,0.017,0.085,0.266,998.8,2305.5,98.5,3.81,0.4,691.7,11.7,165.8,1,2,4,33.2,4.0,ANG,2.15
U001,2025-07-24,0.123,0.136,0.03,0.13,1047.1,1110.2,515.8,11.05,0.89,3606.9,115.0,478.9,2,7,3,95.8,1.5,HAP,3.61
U001,2025-07-25,0.142,0.129,0.046,0.095,777.2,400.2,226.5,8.15,1.59,1941.6,95.6,410.2,1,7,0,410.2,0.0,SAD,6.28
U001,2025-07-26,0.164,0.103,0.047,0.11,114.0,960.5,468.1,7.8,0.95,611.1,94.5,390.4,9,2,3,32.5,0.33,DIS,5.94
U001,2025-07-27,0.246,0.093,0.098,0.154,864.8,1468.4,767.7,16.2,1.95,4243.8,19.0,420.7,15,9,3,23.4,0.2,FEA,4.63
U001,2025-07-28,0.1,0.135,0.026,0.113,559.8,1198.1,709.3,8.15,1.52,1823.4,35.6,187.9,18,9,0,10.4,0.0,FEA,4.65
U001,2025-07-29,0.179,0.036,0.082,0.13,722.1,902.5,353.4,0.53,0.23,1247.6,115.8,300.1,18,11,1,15.8,0.06,ANG,1.7
U001,2025-07-30,0.198,0.021,0.04,0.084,814.0,588.9,268.6,1.16,1.78,4383.0,65.1,402.0,7,12,0,57.4,0.0,SAD,6.21
U001,2025-07-31,0.062,0.044,0.076,0.124,485.3,2102.2,225.8,17.12,0.38,4530.2,53.8,403.8,14,5,3,23.8,0.21,HAP,3.69
U002,2025-07-01,0.202,0.121,0.048,0.193,1108.8,2491.5,449.4,19.21,0.45,1827.1,102.4,487.6,18,14,2,24.4,0.11,DIS,5.68
U002,2025-07-02,0.093,0.015,0.062,0.16,247.4,1025.0,135.7,13.77,1.52,1903.0,19.6,215.0,19,11,3,9.8,0.16,HAP,3.94
U002,2025-07-03,0.066,0.092,0.085,0.137,838.7,1139.6,462.0,7.29,1.76,2982.2,55.9,476.0,5,7,0,95.2,0.0,HAP,3.53
U002,2025-07-04,0.287,0.149,0.082,0.237,104.8,1659.7,51.0,18.77,1.17,3720.5,51.3,297.7,9,7,3,24.8,0.33,HAP,3.99
U002,2025-07-05,0.291,0.13,0.088,0.273,1117.1,1880.6,292.9,13.26,0.72,503.1,48.5,421.9,18,9,0,23.4,0.0,SAD,6.0
U002,2025-07-06,0.252,0.083,0.015,0.239,223.8,1162.5,215.0,16.89,0.83,3048.0,43.8,306.1,13,9,4,18.0,0.31,DIS,5.97
U002,2025-07-07,0.126,0.019,0.072,0.133,204.4,2290.8,778.4,15.32,0.82,4773.5,33.1,572.2,5,8,1,95.4,0.2,SAD,6.27
U002,2025-07-08,0.074,0.126,0.023,0.236,466.3,1532.0,595.4,7.58,0.79,1458.1,29.0,156.8,15,8,1,9.8,0.07,HAP,3.85
U002,2025-07-09,0.221,0.094,0.047,0.088,510.9,1290.9,312.2,9.57,0.64,4562.4,80.4,424.5,19,14,0,22.3,0.0,SAD,6.09
U002,2025-07-10,0.16,0.026,0.059,0.083,335.7,1722.7,119.6,3.72,1.3,4760.8,111.1,371.3,11,7,1,30.9,0.09,FEA,4.76
U002,2025-07-11,0.081,0.023,0.046,0.136,743.6,2396.2,437.6,5.84,1.82,1491.9,66.0,153.3,9,6,2,13.9,0.22,ANG,2.82
U002,2025-07-12,0.174,0.137,0.057,0.252,587.2,2048.0,210.1,15.56,0.75,3820.2,42.8,95.6,16,9,2,5.3,0.12,NEU,4.87
U002,2025-07-13,0.059,0.104,0.1,0.112,137.6,388.0,452.3,17.88,0.54,1346.1,27.5,491.5,11,2,1,41.0,0.09,HAP,3.56
U002,2025-07-14,0.277,0.126,0.022,0.066,451.6,1031.1,676.5,14.49,1.71,3740.5,101.3,145.0,2,6,0,72.5,0.0,FEA,4.51
U002,2025-07-16,0.115,0.133,0.071,0.083,991.5,1335.2,511.8,9.3,1.54,4027.6,116.9,160.7,8,3,2,16.1,0.25,SAD,6.08
U002,2025-07-17,0.216,0.09,0.046,0.265,858.7,991.9,525.3,1.73,1.88,1386.6,48.4,588.4,5,1,1,98.1,0.2,FEA,4.38
U002,2025-07-18,0.128,0.082,0.022,0.208,897.4,1840.4,455.8,1.14,0.5,3636.2,42.0,447.3,11,13,3,32.0,0.27,ANG,2.52
U002,2025-07-19,0.18,0.07,0.024,0.113,867.9,2117.8,745.4,7.49,0.46,4098.1,76.2,195.3,11,7,2,15.0,0.18,ANG,1.82
U002,2025-07-20,0.187,0.054,0.095,0.189,442.1,1909.0,748.9,9.28,1.17,1921.2,95.3,379.1,9,1,4,29.2,0.44,NEU,5.13
U002,2025-07-21,0.096,0.071,0.089,0.182,209.6,2476.5,434.5,12.18,1.31,1005.0,60.1,348.4,11,0,2,26.8,0.18,NEU,5.23
U002,2025-07-22,0.292,0.118,0.092,0.214,399.7,899.6,279.3,0.13,1.06,641.4,79.3,516.0,5,11,1,86.0,0.2,NEU,5.13
U002,2025-07-23,0.244,0.094,0.099,0.108,1015.0,2225.0,394.7,19.79,1.28,2961.8,88.8,453.8,9,11,1,45.4,0.11,DIS,5.56
U002,2025-07-25,0.285,0.135,0.029,0.266,1178.5,1986.6,189.9,7.28,0.52,4894.9,115.7,509.1,1,4,1,254.6,1.0,DIS,5.79
U002,2025-07-26,0.274,0.072,0.042,0.127,643.2,1096.8,527.3,16.96,1.06,4150.2,28.2,174.2,10,9,0,17.4,0.0,FEA,4.58
U002,2025-07-27,0.199,0.095,0.07,0.224,110.7,1915.1,425.1,10.7,1.38,2292.0,119.7,405.7,8,12,0,50.7,0.0,SAD,6.17
U002,2025-07-28,0.28,0.098,0.054,0.054,254.0,529.0,127.5,2.61,0.98,2775.8,53.1,81.7,19,8,3,3.7,0.16,ANG,1.98
U002,2025-07-29,0.072,0.093,0.048,0.143,454.3,2036.5,198.2,15.95,1.42,1541.7,89.6,97.2,16,4,3,5.1,0.19,HAP,3.96
U002,2025-07-30,0.099,0.108,0.042,0.138,736.4,1471.1,409.7,14.2,1.01,982.7,73.0,445.3,13,10,2,29.7,0.15,ANG,2.61
U002,2025-07-31,0.061,0.043,0.063,0.186,182.6,943.0,715.7,10.55,0.8,2514.0,63.5,73.2,5,1,1,12.2,0.2,DIS,5.57
U003,2025-07-01,0.131,0.082,0.062,0.068,1137.7,1742.7,474.8,10.29,0.75,2424.8,86.8,373.1,18,9,3,17.8,0.17,FEA,4.63
U003,2025-07-02,0.147,0.025,0.025,0.248,501.6,1711.6,561.2,1.75,0.94,2705.3,53.5,513.8,9,3,1,51.4,0.11,HAP,3.66
U003,2025-07-03,0.118,0.064,0.052,0.104,1103.8,760.9,304.3,13.12,0.24,4773.5,23.9,265.2,4,7,2,44.2,0.5,NEU,5.29
U003,2025-07-04,0.257,0.078,0.06,0.219,958.6,366.9,478.6,18.22,1.4,3098.7,63.8,84.2,14,6,0,6.0,0.0,NEU,5.29
U003,2025-07-05,0.139,0.101,0.061,0.251,931.0,1254.0,385.5,1.86,1.72,3107.7,67.4,445.5,7,4,3,44.6,0.43,DIS,5.66
U003,2025-07-06,0.12,0.143,0.029,0.19,767.4,1552.9,544.3,5.27,0.84,814.5,32.2,562.0,12,3,4,35.1,0.33,FEA,4.55
U003,2025-07-07,0.186,0.094,0.077,0.235,789.5,2228.5,87.9,18.05,0.28,4983.1,112.9,447.3,7,13,4,40.7,0.57,SAD,6.3
U003,2025-07-08,0.085,0.114,0.012,0.215,801.8,2342.1,420.0,5.69,1.98,3909.7,35.0,372.4,11,4,4,24.8,0.36,ANG,2.22
U003,2025-07-09,0.251,0.081,0.042,0.139,791.6,1463.4,272.0,13.08,0.67,4410.6,55.0,184.2,15,6,4,9.7,0.27,DIS,5.61
U003,2025-07-10,0.069,0.099,0.08,0.252,709.1,1958.4,294.6,10.7,0.43,2188.6,27.0,68.3,7,4,4,6.2,0.57,SAD,6.33
U003,2025-07-11,0.297,0.02,0.061,0.124,1185.1,1266.5,770.7,11.93,0.87,2610.2,68.9,435.1,17,7,4,20.7,0.24,SAD,6.17
U003,2025-07-12,0.243,0.046,0.034,0.193,905.5,1941.4,187.0,8.32,1.53,2706.0,43.8,184.8,5,6,4,20.5,0.8,ANG,2.48
U003,2025-07-13,0.1,0.061,0.073,0.236,954.6,750.6,283.4,6.0,0.73,1131.7,63.8,523.4,8,6,3,47.6,0.38,HAP,3.69
U003,2025-07-16,0.051,0.076,0.061,0.145,1059.7,1116.3,432.4,0.97,1.23,3509.5,34.7,311.8,10,8,4,22.3,0.4,ANG,2.55
U003,2025-07-17,0.254,0.016,0.082,0.126,337.2,1695.3,697.3,14.89,0.95,4534.3,15.9,346.5,6,7,4,34.6,0.67,HAP,3.83
U003,2025-07-18,0.227,0.03,0.076,0.165,192.2,339.9,362.5,14.92,0.41,985.8,95.7,467.1,2,12,2,116.8,1.0,SAD,6.25
U003,2025-07-19,0.232,0.049,0.065,0.254,631.2,1889.4,607.9,13.41,0.79,614.3,80.5,480.9,5,11,3,60.1,0.6,FEA,4.79
U003,2025-07-20,0.243,0.146,0.054,0.282,665.5,2138.2,692.3,12.87,1.5,3743.5,47.5,407.0,10,7,2,33.9,0.2,DIS,5.73
U003,2025-07-21,0.069,0.056,0.022,0.186,1012.1,1178.1,282.5,4.87,1.3,1511.4,15.2,566.8,3,5,1,141.7,0.33,ANG,1.67
U003,2025-07-23,0.14,0.077,0.034,0.215,588.2,1285.5,344.6,0.45,0.42,3194.5,105.2,590.4,13,6,4,34.7,0.31,FEA,4.43
U003,2025-07-24,0.079,0.037,0.048,0.276,727.9,2172.8,317.4,16.17,0.49,3539.6,28.7,571.3,16,7,0,35.7,0.0,FEA,4.47
U003,2025-07-26,0.266,0.096,0.064,0.075,679.8,2006.4,674.6,9.82,1.35,1745.2,112.4,505.1,15,12,4,26.6,0.27,ANG,1.59
U003,2025-07-27,0.206,0.049,0.056,0.108,142.0,933.9,83.3,6.14,1.66,4112.7,62.6,441.0,2,4,4,73.5,2.0,NEU,5.16
U003,2025-07-28,0.133,0.039,0.036,0.227,776.7,1012.7,281.3,2.04,0.83,2839.9,47.4,418.2,3,9,2,83.6,0.67,SAD,6.18
U003,2025-07-29,0.066,0.082,0.011,0.256,1010.8,1793.5,559.6,1.25,1.27,4371.2,91.6,116.0,18,1,1,6.1,0.06,NEU,4.85
U003,2025-07-30,0.128,0.011,0.055,0.264,273.3,1539.0,474.1,6.98,0.51,3863.8,106.5,206.6,15,13,2,12.2,0.13,HAP,3.91
U003,2025-07-31,0.131,0.011,0.036,0.154,753.8,656.9,377.2,16.09,0.76,4369.2,50.8,63.1,5,6,3,7.9,0.6,FEA,4.78
U004,2025-07-01,0.232,0.041,0.076,0.072,753.0,981.8,455.0,18.37,0.24,296.8,54.8,134.2,11,9,1,11.2,0.09,DIS,5.73
U004,2025-07-02,0.209,0.015,0.012,0.159,280.6,2280.0,198.2,17.94,1.58,1368.8,57.6,297.2,3,2,1,74.3,0.33,DIS,5.62
U004,2025-07-04,0.272,0.025,0.063,0.108,235.8,1814.0,373.0,18.4,0.92,632.0,111.5,139.1,9,9,1,13.9,0.11,FEA,4.41
U004,2025-07-05,0.168,0.057,0.095,0.123,1178.1,2469.1,426.3,18.15,1.67,2322.0,86.2,546.9,7,10,2,60.8,0.29,NEU,5.03
U004,2025-07-06,0.08,0.122,0.026,0.243,533.1,1987.4,725.9,10.54,1.48,4471.8,37.2,495.1,2,7,4,82.5,2.0,SAD,6.44
U004,2025-07-07,0.228,0.09,0.052,0.069,350.2,2372.3,245.6,4.39,1.69,2444.2,30.3,98.7,15,5,4,5.2,0.27,FEA,4.43
U004,2025-07-08,0.24,0.082,0.018,0.257,288.5,775.6,700.9,15.96,0.71,4278.6,35.3,194.4,12,10,4,12.2,0.33,HAP,3.78
U004,2025-07-09,0.19,0.051,0.066,0.157,834.4,1997.3,533.2,4.27,0.53,1770.5,39.0,502.3,16,13,4,25.1,0.25,FEA,4.97
U004,2025-07-10,0.243,0.14,0.06,0.199,770.4,344.5,65.3,5.34,1.95,1829.9,35.3,493.6,16,3,4,24.7,0.25,ANG,2.46
U004,2025-07-11,0.173,0.066,0.047,0.072,807.9,1775.7,593.5,4.67,1.49,4498.7,82.4,570.5,16,1,3,30.0,0.19,NEU,5.02
U004,2025-07-12,0.181,0.022,0.057,0.134,196.8,1332.4,76.7,10.3,1.7,2243.9,22.8,598.7,19,12,0,31.5,0.0,ANG,2.57
U004,2025-07-13,0.157,0.096,0.091,0.072,1082.9,1062.9,798.0,6.44,0.22,3990.9,52.6,587.2,3,6,1,146.8,0.33,ANG,2.74
U004,2025-07-14,0.056,0.026,0.028,0.29,528.2,2197.3,704.5,3.08,0.84,1335.9,78.8,281.5,4,0,0,70.4,0.0,FEA,4.71
U004,2025-07-15,0.077,0.058,0.012,0.252,444.7,2179.4,273.0,9.06,1.54,4754.2,42.0,195.2,1,6,3,48.8,3.0,SAD,6.44
U004,2025-07-16,0.058,0.081,0.088,0.165,608.6,349.1,243.1,17.48,0.34,2958.0,17.2,469.5,8,12,4,39.1,0.5,FEA,4.66
U004,2025-07-17,0.209,0.132,0.062,0.106,529.1,1640.9,336.1,11.41,1.22,3844.8,19.0,221.6,15,9,3,12.3,0.2,SAD,6.42
U004,2025-07-18,0.129,0.079,0.09,0.283,1049.9,1109.2,317.1,17.57,0.97,629.7,23.9,495.5,5,12,3,61.9,0.6,DIS,5.98
U004,2025-07-20,0.177,0.108,0.064,0.136,1122.2,1214.5,329.3,3.92,0.23,2564.8,101.9,348.3,12,9,0,29.0,0.0,SAD,6.25
U004,2025-07-21,0.277,0.149,0.083,0.09,433.8,2130.5,288.7,3.34,0.62,4525.0,82.4,488.7,4,6,1,97.7,0.25,ANG,2.41
U004,2025-07-22,0.112,0.028,0.049,0.191,1050.3,981.6,515.9,11.51,0.71,4409.8,17.1,209.0,15,9,2,12.3,0.13,FEA,4.73
U004,2025-07-23,0.153,0.048,0.077,0.286,959.7,2374.7,173.2,9.27,0.4,424.7,53.0,334.3,6,12,2,41.8,0.33,DIS,5.89
U004,2025-07-24,0.239,0.065,0.092,0.051,1123.9,695.2,684.5,13.2,1.34,1657.8,40.6,364.6,5,2,1,60.8,0.2,ANG,2.73
U004,2025-07-25,0.107,0.069,0.061,0.11,370.3,1758.0,659.3,15.89,0.64,2327.9,73.6,569.3,11,3,4,38.0,0.36,DIS,5.51
U004,2025-07-26,0.069,0.068,0.026,0.285,734.7,1778.6,407.4,15.03,0.7,1026.9,67.5,204.0,14,11,3,12.0,0.21,NEU,5.17
U004,2025-07-27,0.122,0.137,0.034,0.093,402.0,854.8,689.5,18.85,1.82,3704.0,62.9,565.8,11,3,4,37.7,0.36,HAP,3.89
U004,2025-07-28,0.09,0.11,0.028,0.078,1006.5,1014.5,235.4,7.97,1.04,1085.7,44.6,494.6,9,3,3,41.2,0.33,ANG,2.55
U004,2025-07-29,0.282,0.095,0.032,0.193,105.9,2136.6,63.2,4.13,0.91,1863.9,25.2,454.7,10,8,2,37.9,0.2,FEA,4.8
U004,2025-07-30,0.252,0.053,0.038,0.265,721.3,1976.0,514.4,11.02,1.5,3383.7,91.7,484.9,6,5,1,69.3,0.17,SAD,6.02
U004,2025-07-31,0.208,0.125,0.06,0.169,473.1,1024.0,393.4,2.21,1.84,2514.0,106.8,386.9,11,9,0,35.2,0.0,NEU,5.02
U005,2025-07-01,0.268,0.144,0.063,0.299,455.0,1474.7,475.4,5.78,0.25,3745.1,113.9,191.8,9,8,0,21.3,0.0,DIS,5.91
U005,2025-07-02,0.251,0.125,0.048,0.22,809.4,435.7,724.5,4.16,1.01,4813.8,16.4,162.3,5,11,1,27.0,0.2,HAP,3.97
U005,2025-07-03,0.097,0.01,0.065,0.069,1036.6,759.2,777.4,7.93,1.3,759.4,91.4,527.8,10,3,2,44.0,0.2,SAD,6.11
U005,2025-07-04,0.273,0.099,0.017,0.298,770.1,1368.8,525.8,2.22,0.77,3605.9,89.9,451.6,14,6,3,26.6,0.21,ANG,2.37
U005,2025-07-05,0.185,0.017,0.018,0.152,1038.5,489.1,623.0,0.64,1.59,1305.7,114.2,175.1,6,12,0,29.2,0.0,HAP,3.9
U005,2025-07-07,0.252,0.046,0.025,0.122,391.1,2155.3,112.9,13.14,1.95,2189.5,37.8,392.2,4,11,2,65.4,0.5,NEU,5.18
U005,2025-07-08,0.274,0.018,0.057,0.189,671.5,1879.6,170.5,12.2,1.9,357.7,91.6,301.7,10,9,1,27.4,0.1,HAP,3.81
U005,2025-07-09,0.13,0.095,0.029,0.126,595.6,2376.0,599.9,14.17,0.68,852.4,16.0,145.7,11,14,4,9.7,0.36,ANG,1.53
U005,2025-07-11,0.078,0.106,0.035,0.072,112.8,1825.6,373.5,13.21,0.61,1734.9,79.4,347.2,16,11,2,19.3,0.12,NEU,5.16
U005,2025-07-12,0.107,0.026,0.046,0.05,712.5,2368.9,384.5,2.29,1.92,1841.5,48.6,212.0,7,11,2,23.6,0.29,DIS,5.89
U005,2025-07-13,0.157,0.064,0.083,0.162,827.7,1519.9,281.5,5.82,1.03,4518.0,94.6,112.0,18,8,4,5.1,0.22,ANG,2.58
U005,2025-07-14,0.255,0.074,0.011,0.259,751.1,1620.5,505.5,2.59,0.57,3760.7,105.0,312.2,7,9,2,34.7,0.29,HAP,3.88
U005,2025-07-15,0.265,0.062,0.068,0.193,909.9,2449.3,188.9,16.86,1.47,4866.5,50.1,378.7,15,2,0,25.2,0.0,ANG,2.15
U005,2025-07-16,0.052,0.027,0.07,0.3,728.5,1712.7,520.2,14.94,0.71,3075.5,67.8,85.3,19,12,0,4.5,0.0,NEU,5.3
U005,2025-07-17,0.178,0.069,0.082,0.122,173.4,367.7,180.3,4.03,0.68,1360.2,22.9,277.1,18,2,0,15.4,0.0,HAP,3.89
U005,2025-07-18,0.154,0.115,0.094,0.12,228.1,1892.4,97.9,6.83,1.78,1772.7,55.9,199.1,15,5,2,11.7,0.13,DIS,5.79
U005,2025-07-19,0.106,0.02,0.012,0.09,756.1,2292.0,297.8,19.33,0.49,1735.2,49.7,76.6,18,7,2,3.8,0.11,SAD,6.47
U005,2025-07-20,0.08,0.021,0.024,0.091,402.5,2050.3,223.4,11.88,0.32,1767.2,30.1,127.9,3,0,2,25.6,0.67,FEA,4.94
U005,2025-07-21,0.134,0.06,0.09,0.121,187.6,1584.4,716.7,16.02,0.68,3430.2,108.4,135.1,1,3,1,67.6,1.0,DIS,5.91
U005,2025-07-24,0.286,0.142,0.051,0.248,572.6,1776.9,91.2,5.29,1.29,2747.9,26.3,158.8,1,12,4,31.8,4.0,ANG,2.35
U005,2025-07-25,0.131,0.104,0.061,0.276,709.8,2478.4,182.5,4.2,0.42,2050.0,79.9,493.8,7,7,2,54.9,0.29,FEA,4.67
U005,2025-07-26,0.18,0.105,0.07,0.294,461.6,499.5,461.5,15.68,1.05,915.6,107.9,297.3,10,5,4,21.2,0.4,SAD,6.16
U005,2025-07-27,0.226,0.061,0.071,0.108,892.5,1767.9,410.8,13.72,1.33,306.3,110.3,139.4,12,13,3,9.3,0.25,SAD,6.13
U005,2025-07-28,0.141,0.093,0.094,0.27,808.1,923.5,84.4,13.62,1.73,1250.4,97.3,114.2,8,1,0,14.3,0.0,NEU,5.06
U005,2025-07-29,0.293,0.011,0.1,0.132,466.1,1708.2,55.4,11.05,0.61,715.9,29.4,220.9,17,7,1,12.3,0.06,SAD,6.29
U005,2025-07-30,0.291,0.099,0.075,0.078,930.4,1636.8,791.1,11.27,1.67,3970.1,99.9,490.9,14,12,4,27.3,0.29,HAP,3.62
U005,2025-07-31,0.113,0.138,0.036,0.268,813.6,637.6,544.1,14.71,0.62,740.0,40.4,256.8,17,13,0,15.1,0.0,HAP,3.96
U006,2025-07-01,0.174,0.096,0.089,0.209,801.2,754.8,324.1,5.4,1.42,3676.3,111.5,146.3,6,0,1,20.9,0.17,NEU,5.08
U006,2025-07-02,0.125,0.132,0.014,0.091,708.8,1667.6,402.8,7.06,0.98,2051.2,88.0,278.2,17,11,0,16.4,0.0,SAD,6.26
U006,2025-07-03,0.121,0.111,0.031,0.157,112.5,582.1,249.9,17.43,0.41,552.2,96.4,359.9,8,0,2,36.0,0.25,ANG,2.15
U006,2025-07-04,0.059,0.027,0.091,0.122,866.2,883.4,308.7,6.18,1.49,4101.1,19.4,76.0,13,6,2,5.1,0.15,DIS,5.53
U006,2025-07-05,0.202,0.136,0.033,0.234,513.6,2137.5,536.8,10.93,0.59,2982.2,74.1,398.9,16,13,0,24.9,0.0,FEA,4.92
U006,2025-07-06,0.176,0.019,0.03,0.163,1136.9,1019.6,712.1,14.05,0.52,1331.7,100.3,273.4,12,9,1,21.0,0.08,NEU,4.96
U006,2025-07-07,0.063,0.085,0.022,0.297,999.8,1373.7,188.1,20.0,0.84,4494.5,104.8,65.3,17,2,0,3.8,0.0,SAD,6.32
U006,2025-07-08,0.12,0.03,0.087,0.064,746.5,2370.5,680.3,8.71,1.38,417.2,13.1,423.9,18,11,3,20.2,0.17,ANG,2.41
U006,2025-07-09,0.277,0.012,0.055,0.139,377.4,799.7,141.2,8.56,0.62,1168.7,113.3,444.7,8,11,1,49.4,0.12,ANG,2.38
U006,2025-07-10,0.11,0.069,0.071,0.17,324.1,1157.2,211.2,16.85,0.53,3809.8,14.8,399.6,18,7,1,21.0,0.06,FEA,4.67
U006,2025-07-11,0.086,0.051,0.032,0.176,474.4,1634.2,77.9,16.11,0.22,3605.0,77.6,244.6,11,8,0,22.2,0.0,NEU,4.89
U006,2025-07-12,0.172,0.078,0.078,0.129,624.2,1961.7,155.6,14.62,1.05,1588.5,86.3,346.0,13,7,4,20.4,0.31,DIS,5.64
U006,2025-07-13,0.296,0.091,0.078,0.232,425.7,2283.6,738.0,9.26,0.97,497.7,21.8,269.1,12,0,0,22.4,0.0,DIS,5.76
U006,2025-07-14,0.111,0.016,0.038,0.269,666.4,2314.0,394.6,6.48,0.62,4318.8,15.3,438.3,15,0,4,23.1,0.27,NEU,5.19
U006,2025-07-15,0.218,0.027,0.047,0.285,281.9,2008.6,108.2,12.17,0.3,1705.7,96.3,375.1,3,5,1,93.8,0.33,HAP,3.72
U006,2025-07-16,0.24,0.088,0.029,0.251,1175.5,802.3,769.8,17.52,0.97,1139.4,52.3,104.2,3,11,2,20.8,0.67,SAD,6.1
U006,2025-07-17,0.109,0.058,0.098,0.263,218.7,354.6,709.2,17.68,1.62,2677.1,21.8,407.3,6,0,2,50.9,0.33,DIS,5.54
U006,2025-07-18,0.232,0.112,0.068,0.188,1125.1,1144.3,616.0,2.17,1.49,4569.1,93.9,431.1,3,7,0,143.7,0.0,HAP,3.83
U006,2025-07-21,0.142,0.101,0.094,0.256,1104.9,611.4,750.1,8.57,1.75,409.0,103.4,260.2,9,14,4,20.0,0.44,NEU,5.01
U006,2025-07-22,0.208,0.128,0.037,0.126,677.9,1862.9,215.1,9.29,0.22,3875.9,74.6,532.9,11,12,0,48.4,0.0,SAD,6.06
U006,2025-07-23,0.208,0.107,0.08,0.15,897.4,1754.5,677.3,19.55,1.94,2947.9,27.7,515.2,8,13,3,46.8,0.38,ANG,2.51
U006,2025-07-24,0.184,0.07,0.079,0.129,579.7,396.7,567.5,13.56,0.81,2242.2,11.7,154.6,4,5,0,38.6,0.0,NEU,4.9
U006,2025-07-25,0.073,0.104,0.072,0.167,793.0,2140.5,702.3,8.14,1.98,3771.6,87.1,548.3,15,4,0,36.6,0.0,ANG,2.26
U006,2025-07-26,0.259,0.049,0.097,0.121,474.6,847.2,647.7,0.52,0.65,4836.0,70.5,298.1,5,12,0,59.6,0.0,NEU,4.95
U006,2025-07-27,0.13,0.053,0.045,0.29,431.3,1250.9,309.9,11.31,1.05,1300.2,81.6,450.8,7,5,0,64.4,0.0,HAP,3.97
U006,2025-07-28,0.097,0.12,0.022,0.128,736.1,1769.5,630.8,1.92,0.84,889.5,99.5,499.6,8,3,4,41.6,0.5,SAD,6.11
